member_number,name_kanji,name_furigana,email,email_verified_at,remember_token,password,birthdate,gender,office_name,postal_code,prefecture,address1,address2,tel1,tel2,tel3,owned_qualifications,certified_accountant_number,tax_accountant_number,advisory_experience_years,other_specialized_field,experience,is_partner,is_release_working_status
XXX121,伊藤浩之,イトウヒロユキ,osamu60@example.org,2021/11/24 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU12,2019/5/31,2,株式会社XXX,1001010,4,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP12級""}]",22232,11121,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",1,1
XXX122,白石昌広,シライシマサヒロ,kenichi31@example.org,2021/11/25 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU13,2019/6/1,1,株式会社XXX,1001011,3,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP13級""}]",22233,11122,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",0,0
XXX123,麻田誠,アサダマコト,uaoyama@example.com,2021/11/26 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU14,2019/6/2,1,株式会社XXX,1001012,42,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP14級""}]",22234,11123,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",0,1
XXX124,杉山俊次,スギヤマシュンジ,csasaki@example.net,2021/11/27 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU15,2019/6/3,2,株式会社XXX,1001013,34,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP15級""}]",22235,11124,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",1,1
XXX125,鈴木卓,スズキスグル,yoshida.mai@example.org,2021/11/28 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU16,2019/6/4,1,株式会社XXX,1001014,2,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP16級""}]",22236,11125,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",0,0
XXX126,中谷祐樹,ナカタニユウキ,hiroshi62@example.com,2021/11/29 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU17,2019/6/5,2,株式会社XXX,1001015,3,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP17級""}]",22237,11126,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",1,1
XXX127,星野大輔,ホシノダイスケ,ayamaguchi@example.org,2021/11/30 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU18,2019/6/6,1,株式会社XXX,1001016,4,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP18級""}]",22238,11127,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",1,0
XXX128,柳生翔太,ヤギュウショウタ,idaka.hideki@example.com,2021/12/1 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU19,2019/6/7,2,株式会社XXX,1001017,23,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP19級""}]",22239,11128,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",0,1
XXX129,園田健介,ソノダケンスケ,yoshida.atsushi@example.net,2021/12/2 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU20,2019/6/8,1,株式会社XXX,1001018,34,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP20級""}]",22240,11129,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",1,0
XXX130,園田圭介,ソノダケイスケ,matsumoto.jun@example.org,2021/12/3 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU21,2019/6/9,2,株式会社XXX,1001019,24,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP21級""}]",22241,11130,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",0,1
XXX131,黒澤尚,クロサワナオ,yuta68@example.net,2021/12/4 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU22,2019/6/10,1,株式会社XXX,1001020,43,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP22級""}]",22242,11131,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",1,1
XXX132,中田茜,ナカタアカネ,tomoya57@example.com,2021/12/5 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU23,2019/6/11,2,株式会社XXX,1001021,27,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP23級""}]",22243,11132,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",0,1
XXX133,松尾修,マツオオサム,hideki92@example.org,2021/12/6 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU24,2019/6/12,1,株式会社XXX,1001022,39,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP24級""}]",22244,11133,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",1,0
XXX134,加賀谷翔,カガヤショウ,unomura@example.org,2021/12/7 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU25,2019/6/13,2,株式会社XXX,1001023,34,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP25級""}]",22245,11134,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",0,1
XXX135,落合圭太,オチアイケイタ,rika72@example.org,2021/12/8 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU26,2019/6/14,1,株式会社XXX,1001024,4,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP26級""}]",22246,11135,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",1,0
XXX136,岩沢貴光,イワサワタカミツ,yui.ogaki@example.net,2021/12/9 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU27,2019/6/15,2,株式会社XXX,1001025,4,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP27級""}]",22247,11136,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",0,1
XXX137,古田恵,フルタメグミ,sayuri.yamagishi@example.org,2021/12/10 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU28,2019/6/16,1,株式会社XXX,1001026,4,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP28級""}]",22248,11137,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",1,1
XXX138,並木昌義,ナミキマサヨシ,naoko.kijima@example.com,2021/12/11 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU29,2019/6/17,1,株式会社XXX,1001027,43,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP29級""}]",22249,11138,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",1,0
XXX139,渡会周平,ワタライシュウヘイ,miki.nakamura@example.com,2021/12/12 11:19,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,$2y$10$0l724WL0U/AHolsPy0VPOelg9pvwdwB/NBwTvMDUPV/EHTQDscCU30,2019/6/18,1,株式会社XXX,1001028,5,AAA市,BBB町,0,0,0,"[{""qualifications"":""FP30級""}]",22250,11139,1,表示されている専門分野の他にもアピールできる専門分野があれば、ここに記入します。,"××監査法人にて、監査業務・財務DD業務を中心に経験。その後××株式会社に転職し、財務DD・財務モデリング・会計ストラクチャー検討・バリュエーション・FA業務等を経験。事業会社やファンドがM&Aをおこなう際の財務DD業務、価値分析業務、FA業務、PMI業務に従事し、約xx年間でxx件以上に関与した実績を持つ。その他、事業再生業務の経験も有する。現在は独立し、M&A業務を中心に業務をおこなっている。
",0,1
